Tanggal	Ranking	Episode	Deskripsi	Penerbit	Bahasa	Rilis
2024-09-02	1	Eps 408 - Stop nunggu orang yang ga jelas 	mau sampe kapan?	helobagas	Bahasa Indonesia	2024-08-24
2024-09-02	2	002 Al-Baqara	Surah 002 Al-Baqara recited by Mishary Rashid Alafasy Mishary Rashid Alafasy – 002 Al-Baqara	Muslim Central	English (US)	2016-04-06
2024-09-02	3	lengah dikit, nama itu muncul lagi | #berKata	susah, ya. putus memang perihal kehilangan.	Rintiksedu	Bahasa Indonesia	2024-08-26
2024-09-02	4	Ruang Sambat: Tukang Parkir Liar, Musnahin atau Pertahanin? (menampilkan Pandji Pragiwaksono vs. David Nurbianto)	Tukang parkir liar dikeluhkan warga karena dianggap parasit dan gak ngebantu. Tapi, ada yang bilang mending mereka tetap dibayar aja, daripada jadi kriminal dan “bemper sosial”.Penasaran dengan kelanjutanya? Tonton full episodenya di sini!    Dengarkan episode lainnya dari Podcast Ruang 28 di aplikasi NOICE. Download NOICE di sini! 	NOICE	Bahasa Indonesia	2024-08-24
2024-09-02	5	571 PERJALANAN MUDIK MENGERIKAN!! JADI TUMBAL MINTA DITUKAR DENGAN NYAWA	Agam dan Kakaknya melakukan perjalanan Mudik dari Jakarta ke Bandung mengendarai Sepeda Motor. Siapa sangka sesampainya mereka di Maribaya Lembang, kendaraan yang digunakan sempat beberapa kali mogok dan mereka bertemu beberapa sosok yang mencurigakan, niat hati ingin merayakan Hari Raya Idul Fitri bersama keluarga, ternyata mereka berdua mengalami kecelakaan tunggal hingga Kakaknya tidak sadarkan diri selama satu bulan lamanya. Apakah Agam dan kakaknya menjadi tumbal dari sosok yang mereka temui? Bagaimana kisah selengkapnya? Simak video berikut, jangan lupa berikan like dan komentarnya  Copyright 2024, Lentera Malam    ---   Support this podcast: https://podcasters.spotify.com/pod/show/lentera-malam8/support	Lentera Malam	Bahasa Indonesia	2024-08-26
2024-09-02	6	001 Al-Fatiha	Surah 001 Al-Fatiha recited by Mishary Rashid Alafasy Mishary Rashid Alafasy – 001 Al-Fatiha	Muslim Central	English (US)	2016-04-06
2024-09-02	7	067 Al-Mulk	Surah 067 Al-Mulk recited by Mishary Rashid Alafasy Mishary Rashid Alafasy – 067 Al-Mulk	Muslim Central	English (US)	2016-04-06
2024-09-02	8	Lengah Dikit Auto Curhat, Sabar Gok !! 	S12E04 Masyarakat, mari kita perdengarkan klarifikasi bapaks-bapaks- terkait konten ibu ibu di instagram, kalo rame lanjut part 2 	Podkesmas Asia 	Bahasa Indonesia	2024-08-29
2024-09-02	9	#REWIND with Sal Priadi: Hidup Nomaden dan Keinginan Menaklukan Jakarta	Melintas memori Sal di tempat bersejarah buatnya, Roemah Iponk. Di mana lagu ‘Besok Kita Pergi Makan’ jadi project “Sangkuriang” bagi Sal Priadi dan Iponk sendiri. Membuka cerita soal lagu-lagu lainnya yang viral seperti, ‘Gala Bunga Matahari’ dan ‘Dari Planet Lain’. Tak luput membahas kehidupan masa remaja  yang nomaden dan kenangan Malang yang selalu tinggal di hatinya, serta manusia yang membantu keberlangsungan karirnya sampai saat ini.Sal Priadi segera menggelar Zuzuzaza Tour dalam waktu dekat. Beli tiket Zuzuzaza Tour di salpriadi.com  Connect with us! Email: hi@themaplemedia Instagram: https://www.instagram.com/themaplemedia/ TikTok: https://www.tiktok.com/@themaplemedia The Maple Media • 2024	The Maple Media	Bahasa Indonesia	2024-08-26
2024-09-02	10	573 MERINDINGGG ‼️ HOROR DAN MENGERIKANNYA ACEH 20 TAHUN SILAM	Rudy yang menjadi korban dari Tsunami Aceh 2004 hadir untuk menceritakan bagaimana ia bertahan sehingga selamat dari tragedi tersebut. Dan dari tragedi tersebut, Rudy juga mengalami kejadian horor. Bagaimana kisah selengkapnya? Simak video berikut, jangan lupa berikan like dan komentarnya  Copyright 2024, Lentera Malam    ---   Support this podcast: https://podcasters.spotify.com/pod/show/lentera-malam8/support	Lentera Malam	Bahasa Indonesia	2024-08-31
2024-09-02	11	Eps. 544 - Fakta dibalik Panti Jompo Terbengkalai, Bogor	Setelah dengerin ini, jangan lupa cek PMK Uncensored di bit.ly/pmkuncensored ya. Selamat mendengarkan, tabik!	Podkesmas Asia	Bahasa Indonesia	2024-08-30
